name,alelle,color,GM,CHR,SCAFF_ID,H_START,H_END
552569,0,#ff6500,34.53,10,0,48147586,48148378
559421,0,#ff6500,34.53,10,0,48147586,48148378
654661,0,#ff6500,36.083,10,0,47119159,47119823
552476,0,#ff6500,36.091,10,0,47119159,47119823
536843,0,#ff6500,36.091,10,0,47119159,47119823
solcap_stsnp_c1_16004,0,#2EFF5C,36.298,10,0,47538553,47538553
552174,0,#ff6500,36.402,10,0,47119159,47119823
solcap_stsnp_c1_14606,0,#2EFF5C,37.794,10,0,48376904,48376904
toPt-437059,0,#ff6500,39.12,10,0,49406173,49406475
toPt-439655,0,#ff6500,39.12,10,0,49406173,49406475
652912,0,#ff6500,41.049,10,0,27044463,27045342
473473,0,#ff6500,41.371,10,0,27044463,27045342
653258,0,#ff6500,42.04,10,0,27044463,27045342
533924,0,#ff6500,43.078,10,0,50901994,50902299
650975,0,#ff6500,43.41,10,0,50901994,50902385
solcap_stsnp_c1_9498,0,#2EFF5C,45.883,10,0,51153536,51153536
toPt-440308,0,#ff6500,45.911,10,0,52004351,52004946
solcap_stsnp_c1_15222,0,#2EFF5C,46.077,10,0,52168250,52168250
ca673116,0,#ff6500,46.295,10,0,52004696,52004946
458453,0,#ff6500,46.312,10,0,52004351,52004946
ca672993,0,#ff6500,46.313,10,0,52004696,52004946
650893,0,#ff6500,46.353,10,0,52004351,52004946
472481,0,#ff6500,46.379,10,0,52004351,52004946
653677,0,#ff6500,46.379,10,0,52004351,52004938
toPt-437558,0,#ff6500,46.379,10,0,52004351,52004946
toPt-437020,0,#ff6500,46.379,10,0,52004351,52004946
539190,0,#ff6500,46.379,10,0,52004351,52004946
459023,0,#ff6500,46.379,10,0,52004351,52004946
458714,0,#ff6500,46.379,10,0,52004351,52004946
toPt-439355,0,#ff6500,46.379,10,0,52004351,52004946
654443,0,#ff6500,46.381,10,0,57694531,57695033
535439,0,#ff6500,46.383,10,0,52004351,52004946
652127,0,#ff6500,46.383,10,0,52004351,52004941
654512,0,#ff6500,46.383,10,0,52004351,52004946
650881,0,#ff6500,46.383,10,0,52004351,52004946
654751,0,#ff6500,46.385,10,0,52004351,52004946
539509,0,#ff6500,46.385,10,0,52004351,52004565
toPt-438485,0,#ff6500,46.387,10,0,52004351,52004946
toPt-439251,0,#ff6500,46.388,10,0,52004351,52004946
toPt-440369,0,#ff6500,46.445,10,0,52004351,52004946
458198,0,#ff6500,46.693,10,0,52004351,52004946
458465,0,#ff6500,46.724,10,0,52004351,52004946
solcap_stsnp_c1_15216,0,#2EFF5C,47.01,10,0,52262080,52262080
654281,0,#ff6500,49.755,10,0,54347438,54347637
458475,0,#ff6500,49.755,10,0,54347437,54347637
539947,0,#ff6500,49.755,10,0,54347437,54347637
652171,0,#ff6500,49.769,10,0,54392723,54393006
459092,0,#ff6500,49.827,10,0,54347437,54347635
457825,0,#ff6500,49.979,10,0,54347437,54347637
solcap_stsnp_c1_10324,0,#2EFF5C,50.273,10,0,54389816,54389816
solcap_stsnp_c1_12656,0,#2EFF5C,57.235,10,0,56677034,56677034
solcap_stsnp_c1_9069,0,#2EFF5C,57.701,10,0,56513750,56513750
solcap_stsnp_c1_12614,0,#2EFF5C,58.919,10,0,56762745,56762745
535163,0,#ff6500,59.216,10,0,31813062,31813481
458108,0,#ff6500,59.216,10,0,56735717,56736329
PM0139,0,#0826EB,61.372,10,0,57164395,57164527
solcap_stsnp_c1_7206,0,#2EFF5C,62.297,10,0,57553566,57553566
651366,0,#ff6500,64.989,10,0,58436102,58436438
toPt-437377,0,#ff6500,67.349,10,0,58515787,58516258
solcap_stsnp_c1_8814,0,#2EFF5C,68.865,10,0,58485780,58485780
